pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length
1,448179,"Hill, Rich",71,1.4,0,0,0,0,0,1.009,0.766,0,1,107.8,18,2546,68.9,68.3,0,1,0,-0.6,6,121,150,124,154,287,331,298,0.3,-0.3,76.4172,6.90145
1,668942,"Rojas, Josh",27,3.7,0,0,0,0,0,0.31,0.303,0,1,89.1,21,1676,73.5,72.2,0,1,0,-1.3,5.4,127,146,137,153,309,321,298,0.2,-0.2,77.11933,7.93591
1,571863,"Koch, Matt",23,4.3,1,1,1,2,1.254,0.611,0.603,1,1,99.5,16,2403,80.7,80.8,0,1,0,0.1,6.1,112,151,122,148,297,324,296,-1.1,1.1,77.67989,6.37538
1,545121,"Vargas, Ildemaro",23,4.3,0,0,0,0,0,0.423,0.363,0,1,98.8,18,1714,73.3,71.8,0,1,0,-1.5,5,114,150,126,148,308,327,322,0.2,-0.2,71.78552,6.19299
1,543475,"Lyles, Jordan",72,1.4,1,1,1,2,1.254,0.904,0.709,1,1,107.1,19,2190,89.8,91.4,0,1,0,1.6,7,125,146,140,154,292,316,303,-0.2,0.2,80.82301,7.09667
1,656458,"Gilbreath, Lucas",47,2.1,1,0,1,1,0.882,0.762,0.829,1,1,77.1,16,2228,80.8,80.5,0,1,0,-0.3,5.8,125,151,129,152,287,331,299,-0.3,0.3,54.12504,4.70402
1,593833,"Suero, Wander",2,50,1,0,1,1,0.882,1.021,0.771,1,1,109,18,2588,89.8,91.3,0,1,0,1.5,7.3,103,138,118,143,290,308,295,-0.8,0.8,73.31821,8.0421
1,676604,"Zuber, Tyler",75,1.3,1,0,1,1,0.882,0.427,0.346,1,1,100.4,19,2688,88.6,88.9,0,1,0,0.3,6.2,122,146,118,154,291,329,291,-0.2,0.2,79.80224,8.10837
1,681347,"Burrows, Mike",68,1.5,0,0,0,0,0,0.537,0.463,0,1,103,17,2132,93.7,92.9,0,1,0,-0.8,6.1,119,146,116,148,299,341,299,0.7,-0.7,75.61248,7.03252
1,670161,"Dunshee, Parker",51,2,1,0,1,1,0.882,0.553,0.609,1,1,79.2,24,2457,82.7,82.1,0,1,0,-0.6,5.5,113,155,127,148,308,321,292,-0.3,0.3,76.22597,7.732
