pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length
2,668868,"Thompson, Zack",317,0.6,0.5,0,0.5,0.5,0.441,0.576,0.606,1,2,90.3,10,2499,78.8,78.95,0,2,0,0.2,6.5,129,148,132,153,297,322,302,0,0,66.19031,7.17044
2,663574,"Santillan, Tony",504,0.4,0,0,0,0,0,0.501,0.534,0,2,83.6,12.5,2376,97.9,97.6,0,2,0,-0.2,6.15,118,148,121,150,295,321,290,0.6,-0.6,68.74105,6.47143
2,670046,"Rosenberg, Kenny",403,0.5,0,0,0,0,0,0.474,0.52,0,2,86.8,9.5,1857,85.3,84.2,0,2,0,-1.1,5.75,98,150,117,150,301,320,302,0.6,-0.6,69.13487,7.85083
2,687924,"Aguiar, Julian",530,0.4,0,0,0,0,0,0.408,0.424,0,2,72.4,21,1986,94.7,94,0,2,0,-0.7,5.75,112,152,134,150,300,331,295,0.2,-0.2,66.596115,6.629135
2,657240,"Merryweather, Julian",272,0.7,0,0,0,0,0,0.623,0.66,0,2,102.4,8,2292,96.2,96.3,0,2,0,0.1,6.5,122,152,100,153,297,324,300,0.3,-0.3,66.21337,6.38632
2,669674,"Long, Sam",702,0.3,0,0,0,0,0,0.41,0.425,0,2,67.8,17,2288,90.3,90.25,0,2,0,0,6.05,121,145,122,149,293,321,300,0.5,-0.5,76.613185,7.865155
2,696136,"Wicks, Jordan",852,0.2,0,0,0,0,0,0.315,0.336,0,2,75.9,9.5,1905,88.8,88.6,0,2,0,-0.2,6.35,105,131,108,128,307,320,290,0.3,-0.3,70.244365,7.64884
2,656924,"Ryan, Ryder",340,0.6,0,0,0,0,0,0.575,0.63,0,2,102.6,7.5,2194,88.3,88.1,0,2,0,-0.2,6.25,113,150,118,146,320,323,282,0.6,-0.6,74.389975,7.601965
2,613534,"Adams, Austin",805,0.2,0,0,0,0,0,0.295,0.329,0,2,65.6,17,2936,87.5,87.15,0,2,0,-0.3,6.05,102,149,125,152,292,319,297,0.6,-0.6,79.76601,7.48873
2,656638,"Lange, Alex",377,0.5,0.5,0.5,0.5,1,0.627,0.768,0.774,1,2,96.2,11,2236,88.1,88.15,0,2,0,0.2,6.35,128,147,121,152,289,330,309,-0.5,0.5,75.17676,7.5178
2,554340,"García, Yimi",619,0.3,0,0,0,0,0,0.667,0.709,0,2,100.1,8.5,2494,95.1,94.15,0,2,0,-0.9,5.95,120,151,102,150,283,318,292,0.3,-0.3,67.46848,6.30668
2,622253,"Tate, Dillon",590,0.3,0.5,0,0.5,0.5,0.441,0.625,0.664,1,2,101.9,8,2131,84.7,84.8,0,2,0,0.1,6.35,87,148,120,143,304,324,290,-0.1,0.1,77.37007,8.04943
2,669952,"White, Mitch",413,0.5,0,0,0,0,0,0.522,0.548,0,2,93.2,8,2305,86.9,86.55,0,2,0,-0.3,6.3,125,144,115,149,283,324,286,0.8,-0.8,69.962105,7.322045
2,643361,"Herget, Kevin",151,1.3,0,0,0,0,0,0.723,0.738,0,2,104.6,9,2153,90.3,89.4,0,2,0,-0.9,5.8,120,151,124,151,307,317,297,0.2,-0.2,73.37872,7.47749
2,664350,"Sánchez, Sixto",621,0.3,0,0,0,0,0,0.864,0.898,0,2,100.2,11,2444,84.5,84.45,0,2,0,-0.1,5.9,125,148,112,147,293,329,299,0.5,-0.5,75.008365,7.736725
2,676969,"de Geus, Brett",194,1,0,0,0,0,0,0.384,0.417,0,2,71.5,16,2154,96,95.05,0,2,0,-1,5.9,114,145,114,143,292,311,280,1,-1,75.78775,6.796775
2,689958,"Walters, Andrew",132,1.5,0,0,0,0,0,0.442,0.48,0,2,78.4,12.5,2072,85.7,86.25,0,2,0,0.6,6.6,114,153,113,149,300,314,291,0.7,-0.7,60.75033,7.8268
2,671131,"Rutledge, Jackson",139,1.4,0.5,0,0.5,0.5,0.441,0.511,0.521,1,2,84.1,11,2316,94.8,95.1,0,2,0,0.3,6.45,125,148,112,153,286,317,298,-0.3,0.3,66.979535,6.43446
2,672391,"Ort, Kaleb",366,0.5,0,0,0,0,0,0.47,0.508,0,2,78.4,15.5,2465,98.4,97.8,0,2,0,-0.6,6.3,122,151,120,154,285,327,309,0.3,-0.3,67.66468,6.472305
2,656550,"Holmes, Grant",1024,0.2,0,0,0,0,0,0.641,0.666,0,2,99.8,8,2808,86,86,0,2,0,0,6.05,121,149,118,151,294,319,293,0.5,-0.5,77.3814,8.27988
2,523260,"Kelly, Joe",552,0.4,0,0,0,0,0,0.379,0.402,0,2,88.2,6,2005,98.7,98.65,0,2,0,0,6.3,117,154,129,151,301,325,281,0.6,-0.6,70.03077,6.65398
2,660600,"Paredes, Enoli",319,0.6,0,0,0,0,0,0.37,0.4,0,2,71.8,15.5,2654,88.5,88.95,0,2,0,0.6,6.55,125,150,111,152,291,317,292,0.4,-0.4,62.719745,7.03692
2,661395,"Duran, Jhoan",881,0.2,0,0,0,0,0,0.558,0.576,0,2,79.8,17,2367,93.5,93.45,0,2,0,0.1,6.3,116,152,116,147,287,305,295,0.9,-0.9,61.897365,7.276825
2,676105,"Criswell, Jeff",354,0.6,0,0,0,0,0,0.62,0.65,0,2,95.4,9,2444,92,92.6,0,2,0,0.6,6.35,104,149,127,149,299,323,301,0.4,-0.4,65.6588,6.33319
2,681217,"Silseth, Chase",167,1.2,0,0,0,0,0,0.74,0.79,0,2,89.3,13,2739,86.9,85.95,0,2,0,-0.9,5.85,122,151,122,151,306,329,298,0.4,-0.4,76.55117,8.14371
2,518397,"Alexander, Scott",566,0.4,0,0,0,0,0,0.64,0.661,0,2,101.2,7.5,2338,87.5,87.45,0,2,0,0,6.1,124,150,126,153,294,327,296,0.6,-0.6,71.312695,7.501705
2,607644,"Means, John",320,0.6,0,0,0,0,0,0.845,0.921,0,2,76.8,17,2319,81.3,81.1,0,2,0,-0.2,6.1,119,153,124,147,304,320,280,0.3,-0.3,68.97761,7.711725
2,689690,"Jacob, Alek",232,0.9,0,0,0,0,0,0.632,0.684,0,2,87.9,12.5,2119,80.4,82.2,0,2,0,1.8,7.75,111,142,131,150,285,313,303,0.7,-0.7,71.320365,7.27817
2,701542,"Warren, Will",458,0.4,0,0,0,0,0,0.737,0.806,0,2,85,14,2763,87.5,87.45,0,2,0,0,6.55,101,153,116,151,294,325,278,0.6,-0.6,72.515065,8.089015
2,669438,"Englert, Mason",365,0.5,0,0,0,0,0,0.453,0.478,0,2,85.1,9.5,2223,88.5,88.3,0,2,0,-0.2,6,101,153,118,146,305,332,283,0.4,-0.4,67.791555,7.30531
2,664129,"Hartlieb, Geoff",138,1.4,0,0,0,0,0,0.484,0.534,0,2,70.8,16,2489,91.9,92.8,0,2,0,1,6.5,122,152,126,150,304,334,312,0.3,-0.3,65.231985,7.843595
2,660761,"Suarez, José",987,0.2,0,0,0,0,0,0.512,0.553,0,2,82.2,12,1972,89.6,88.85,0,2,0,-0.8,5.95,114,153,116,150,301,325,292,0.6,-0.6,65.29404,6.60496
2,674944,"Guenther, Sean",243,0.8,0,0,0,0,0,0.667,0.712,0,2,94.4,10.5,1666,81.7,81.9,0,2,0,0.2,6.55,122,148,111,151,307,326,300,0.3,-0.3,72.798255,7.712235
2,676714,"Hughes, Brandon",350,0.6,0,0,0,0,0,0.509,0.551,0,2,89.6,10,2359,93.2,93.6,0,2,0,0.4,6.5,105,151,128,149,310,315,300,0.6,-0.6,73.053995,7.326305
2,695243,"Miller, Mason",1024,0.2,0,0,0,0,0,0.387,0.415,0,2,77.5,14,2481,101.8,102.7,0,2,0,0.9,6.75,104,147,117,149,289,320,297,0.4,-0.4,62.297945,5.473865
2,686642,"Ellard, Fraser",432,0.5,0,0,0,0,0,0.409,0.439,0,2,84.3,9,2293,92,91.2,0,2,0,-0.8,5.85,96,121,89,126,267,305,293,0.7,-0.7,66.31299,6.384575
